step,x,y,speed,action,progress,on_track
212,57.351567199007086,462.0351539356413,8.520938817532357,"[True, False, False, True, False]",467.65517546073505,True
213,57.78962705483131,460.96568045681965,8.667839131196692,"[True, False, False, True, False]",467.65517546073505,True
214,58.26863926992935,459.8959784477215,8.790419434793776,"[True, False, True, False, False]",469.74049647883254,True
215,58.784150178663594,458.81849718249975,8.958395631107546,"[True, False, True, False, False]",471.81695165118776,True
216,59.330787130519425,457.7264712440614,9.159009726154887,"[True, False, True, False, False]",471.81695165118776,True
217,59.9023939199836,456.61403875439083,9.380219644458544,"[True, False, True, False, False]",473.88132774304313,True
218,60.492180239312546,455.47633532414585,9.611176104843215,"[True, False, True, False, False]",475.9304704115636,True
219,61.09288089924775,454.3095623995671,9.842447314879982,"[True, False, True, False, False]",475.9304704115636,True
220,61.69692051521652,453.11102939912246,10.066065175047912,"[True, False, True, False, False]",477.9616644289837,True
221,62.29657942317144,451.87916972668836,10.27546274083691,"[True, False, True, False, False]",479.9731768921646,True
222,62.88415676237408,450.6135314052184,10.465355767023523,"[True, False, True, False, False]",481.9648068351803,True
223,63.452126932091055,449.3147436794105,10.6316029581553,"[True, False, False, False, False]",483.9383140827056,True
224,64.00164756865746,447.9829530926327,10.805308843741123,"[True, False, False, False, False]",487.84819881113333,True
225,64.53381737120888,446.6182999738069,10.985600092057338,"[True, False, False, False, False]",489.797093622852,True
226,65.04967909579454,445.22091875211896,11.17169648558572,"[True, False, False, False, False]",491.75129508953256,True
227,65.5502223973894,443.790938255742,11.362903004709521,"[True, False, False, False, False]",493.7170975417724,True
228,66.03638652753202,442.3284819953856,11.558602011607364,"[True, False, False, False, False]",495.6992604371584,True
229,66.50906289492225,440.8336684334411,11.758245723576554,"[True, False, False, False, False]",497.7005875443321,True
230,66.9690974959406,439.3066112394557,11.961349100992546,"[True, False, False, False, False]",499.7218942563138,True
231,67.41729322169698,437.74741953262856,12.167483225030596,"[True, False, False, False, False]",501.76229990866125,True
232,67.85441204788145,436.15619811198934,12.376269202427592,"[True, False, False, False, False]",501.76229990866125,True
233,68.28117711337033,434.53304767488453,12.5873726069418,"[True, False, False, False, False]",503.81969568892913,True
234,68.69827469323913,432.87806502436496,12.80049844778501,"[True, False, False, False, False]",505.89126272170864,True
235,69.10635607154629,431.19134326603927,13.01538664234868,"[True, False, False, False, False]",507.9739466669427,True
236,69.50603931897946,429.472971994928,13.23180796247586,"[True, False, False, False, False]",507.9739466669427,True
237,69.89791098019725,427.7230374728258,13.449560419070373,"[True, False, False, False, False]",510.06479978848716,True
238,70.28252767545389,425.941622796655,13.668466047970098,"[True, False, False, False, False]",512.1612180491213,True
239,70.6604176208614,424.1288080582672,13.888368059954807,"[True, False, False, False, False]",514.2610591049371,True
240,71.03208207142218,422.28467049612806,14.109128318913092,"[True, False, False, False, False]",516.3626775800581,True
241,71.39799669075568,420.40928463929674,14.33062511411386,"[True, False, False, False, False]",516.3626775800581,True
242,71.75861285124265,418.5027224440927,14.552751194892519,"[True, False, False, False, False]",518.4648873784496,True
243,72.11435886812215,416.56505342381985,14.775412038640656,"[True, False, False, False, False]",520.5668887578513,True
244,72.46564117089629,414.59634477190207,14.998524325621853,"[True, False, False, False, False]",522.6681915115336,True
245,72.81284541522749,412.59666147876396,15.222014596718612,"[True, False, False, False, False]",524.7685338231288,True
246,73.15633753835132,410.56606644277485,15.445818072678474,"[True, False, False, False, False]",526.867818649792,True
247,73.49646476087433,408.5046205755576,15.669877615730215,"[True, False, False, False, False]",528.9660659303992,True
248,73.83355653768034,406.4123829019486,15.894142816563743,"[True, False, False, False, False]",531.0633749996499,True
249,74.16792546053071,404.2894106548804,16.118569191601292,"[True, False, False, False, False]",533.159907542084,True
250,74.49986811481249,402.1357593654452,16.343117477235594,"[True, False, False, False, False]",535.2558852765278,True
251,74.82966589276347,399.9514829483841,16.567753009279073,"[True, False, False, False, False]",537.3515835420523,True
252,75.15758576538559,397.7366337832337,16.792445177268757,"[True, False, False, False, False]",539.4473215562783,True
253,75.48388101514483,395.4912627913517,17.017166944516344,"[True, False, False, False, False]",541.5434485504261,True
254,75.80879193145,393.2154195090302,17.241894425895936,"[True, False, False, False, False]",543.6403207706378,True
255,76.13254647080109,390.9091521568958,17.466606516336412,"[True, False, False, False, False]",547.8375645410235,True
256,76.45536088340201,388.5725077057845,17.691284563844768,"[True, False, False, False, False]",549.9383757237719,True
257,76.77744030794129,386.20553193927145,17.91591208164284,"[True, False, False, False, False]",552.0407528978232,True
258,77.09897933615791,383.8082695130246,18.14047449466486,"[True, False, False, False, False]",554.1446081508853,True
259,77.420162548727,381.38076401114404,18.36495891624671,"[True, False, False, False, False]",558.3557914770288,True
260,77.74116502392259,378.92305799964026,18.589353951350123,"[True, False, False, False, False]",560.4624312753882,True
261,78.0621528204401,376.4351930771961,18.813649523114087,"[True, False, False, False, False]",562.5692646457121,True
262,78.38328343569145,373.91720992335115,19.03783671991928,"[True, False, False, False, False]",564.675946781556,True
263,78.70470624081862,371.3691483442388,19.26190766049639,"[True, False, False, False, False]",568.8878583852817,True
264,79.02656289360854,368.79104731600097,19.485855374911285,"[True, False, False, False, False]",570.9928176000643,True
265,79.34898773043172,366.18294502599787,19.709673699524835,"[True, False, False, False, False]",573.0970752779331,True
266,79.67210813827037,363.5448789119251,19.933357184257176,"[True, False, False, False, False]",577.3037055439852,True
267,79.99604490784746,360.87688569894436,20.156901010689225,"[True, False, False, False, False]",579.4062401620735,True
268,80.32091256881661,358.17900143492903,20.38030091971277,"[True, False, False, False, False]",581.5083618724974,True
269,80.64681970792438,355.4512615239193,20.603553147596138,"[True, False, False, False, False]",585.7115937113208,True
270,80.9738692710098,352.6937007578793,20.826654369469694,"[True, False, False, False, False]",587.81278046638,True
271,81.3021588496622,349.90635334684134,21.049601649355207,"[True, False, False, False, False]",589.9137123239627,True
272,81.63178095331679,347.0892529475195,21.272392395968577,"[True, False, False, False, False]",594.114866372881,True
273,81.9628232675277,344.2424326904709,21.495024323617685,"[True, False, False, False, False]",596.2151184232981,True
274,82.29536889912062,341.365925205877,21.71749541759842,"[True, False, False, False, False]",598.315177171302,True
275,82.62949660889173,338.4597626480172,21.93980390356297,"[True, False, False, False, False]",602.5147951746736,True
276,82.96528103248525,335.52397671849894,22.161948220397154,"[True, False, True, False, False]",604.6143957992869,True
277,83.28775804104548,332.55828488000867,22.373795430905385,"[True, False, True, False, False]",608.8132735024383,True
278,83.58261660537467,329.5646493504684,22.560911621396603,"[True, False, True, False, False]",610.9125800263946,True
279,83.83650865882704,326.5471021743012,22.71157045659886,"[True, False, False, False, False]",615.1109927528587,True
280,84.05129880771861,323.5053919792453,22.869633450947386,"[True, False, False, False, False]",617.2101257181741,True
281,84.22875710955849,320.439281335617,23.03431317496278,"[True, False, False, False, False]",621.40832219435,True
282,84.3705638759897,317.3485460470894,23.204900350572142,"[True, False, False, False, False]",623.5074182201271,True
283,84.4783142317408,314.23297447750036,23.380756924708177,"[True, False, False, False, False]",627.705665526561,True
284,84.5535224419827,311.0923669118591,23.561309572880692,"[True, False, False, True, False]",629.8048258944525,True
285,84.61307664939774,307.9232152943671,23.77283351123403,"[True, False, False, False, False]",634.0032043067732,True
286,84.6576795534594,304.72549903805543,23.98520482432554,"[True, False, False, False, False]",636.1024076049238,True
287,84.687998230527,301.49919977827295,24.198312857339264,"[True, False, False, False, False]",640.3008046340007,True
288,84.70466594344067,298.2443012588515,24.412058964202206,"[True, False, False, False, False]",642.3999863988494,True
289,84.708283859189,294.9607892240545,24.6263552098841,"[True, False, False, False, False]",646.5982966321367,True
290,84.69942267931911,291.64865131601516,24.8411232109959,"[True, False, False, False, False]",648.6974209320005,True
291,84.67862418752209,288.30787697738594,25.05629310050443,"[True, False, False, False, False]",652.8956172535569,True
292,84.646402718601,284.93845735893393,25.271802603694862,"[True, False, False, False, False]",657.0937965453777,True
293,84.6032465528154,281.5403852318312,25.48759621373964,"[True, False, False, False, False]",659.1929138704411,True
294,84.54961923939328,278.1136549044014,25.703624456368672,"[True, False, False, False, False]",663.391284096279,True
295,84.48596085280852,274.65826214309686,25.919843234181528,"[True, False, False, False, False]",665.4905628084108,True
296,84.4126891852396,271.17420409749,26.136213242099153,"[True, False, False, False, False]",669.689331074947,True
