model_name,x,y,speed,progress,thr,rev,brk,time
ppo_track_v5_960252_steps,106.5978489927035,76.94169399142093,44.14080832482508,864.9207494489468,1.0,0.0,1.0,11.199999999999935
ppo_track_v5_960252_steps,107.37386856508635,75.42236941662748,42.65086121853662,867.0108557505048,1.0,0.0,1.0,11.239999999999936
ppo_track_v5_960252_steps,108.15762692011089,73.97864034921955,41.0687744760945,869.0983306685823,1.0,0.0,1.0,11.279999999999935
ppo_track_v5_960252_steps,108.94869842482888,72.61581877459544,39.394453685114,871.1825194131193,1.0,0.0,1.0,11.319999999999936
ppo_track_v5_960252_steps,109.74305670194369,71.3298906487794,37.78736740950537,873.262501293931,1.0,0.0,1.0,11.359999999999934
ppo_track_v5_960252_steps,110.53930903647873,70.12547711797878,36.09561723246434,873.262501293931,1.0,0.0,1.0,11.399999999999933
ppo_track_v5_960252_steps,111.37967702857992,68.94026922689689,36.32265225750127,875.3370098728461,1.0,0.0,0.0,11.439999999999932
ppo_track_v5_960252_steps,112.26369088509269,67.78108683502413,36.44502980632611,877.4043416314523,1.0,0.0,0.0,11.479999999999931
ppo_track_v5_960252_steps,113.14139746043452,66.70905610912777,34.63757632312206,879.4623113270999,1.0,0.0,1.0,11.51999999999993
ppo_track_v5_960252_steps,114.06053015361256,65.65742934603232,34.91707816856347,879.4623113270999,1.0,0.0,0.0,11.55999999999993
ppo_track_v5_960252_steps,115.02024710251932,64.63287498521758,35.096013486963635,881.5082335591177,1.0,0.0,0.0,11.599999999999929
ppo_track_v5_960252_steps,116.01881575830578,63.64174689865321,35.17344740972873,883.5389796373714,1.0,0.0,0.0,11.639999999999928
ppo_track_v5_960252_steps,116.9961893245026,62.74550709407801,33.15215750148544,885.551151517952,1.0,0.0,1.0,11.679999999999929
ppo_track_v5_960252_steps,117.9467829048574,61.944453404681546,31.077676557171188,885.551151517952,1.0,0.0,1.0,11.719999999999926
ppo_track_v5_960252_steps,118.92680325560148,61.18735054692533,30.960101593575544,887.5413437854468,1.0,0.0,0.0,11.759999999999923
ppo_track_v5_960252_steps,119.93228503822776,60.47821435358527,30.75983334539292,889.506557272218,1.0,0.0,0.0,11.799999999999924
ppo_track_v5_960252_steps,120.95885411451964,59.82044158643065,30.480619678832504,891.4447132357195,1.0,0.0,0.0,11.839999999999923
ppo_track_v5_960252_steps,122.00182355763592,59.216780163978285,30.1267361764378,893.3552060050152,1.0,0.0,0.0,11.879999999999924
ppo_track_v5_960252_steps,123.05628986748243,58.6693140667328,29.702886288988868,895.2394076392692,1.0,0.0,0.0,11.919999999999922
ppo_track_v5_960252_steps,124.11722719944215,58.1794623248984,29.214109939847717,898.9457814576047,1.0,0.0,0.0,11.95999999999992
ppo_track_v5_960252_steps,125.17957759954994,57.7479911815796,28.665699452110612,900.7815247601168,1.0,0.0,0.0,11.99999999999992
ppo_track_v5_960252_steps,126.23833546444908,57.37503825419131,28.063121958956863,902.6168624050335,1.0,0.0,0.0,12.03999999999992
ppo_track_v5_960252_steps,127.2949570809517,57.058556277081934,27.575012265360833,904.4603823234715,1.0,0.0,0.0,12.079999999999918
ppo_track_v5_960252_steps,128.3508237374711,56.79660124532722,27.196907395545985,906.3196065514104,1.0,0.0,0.0,12.119999999999918
ppo_track_v5_960252_steps,129.40724553475553,56.587327169677565,26.923765669440055,908.2002373342732,1.0,0.0,0.0,12.159999999999917
ppo_track_v5_960252_steps,130.46546500303623,56.42898109795361,26.750022447171595,910.1057967912294,1.0,0.0,0.0,12.199999999999916
ppo_track_v5_960252_steps,131.5266605354236,56.31989838935438,26.669680763863642,912.0376870569944,1.0,0.0,0.0,12.239999999999917
ppo_track_v5_960252_steps,132.59194964688615,56.25849822883016,26.67642768804856,913.9955285920076,1.0,0.0,0.0,12.279999999999914
ppo_track_v5_960252_steps,133.66239206767284,56.24327936932471,26.763765032038847,913.9955285920076,1.0,0.0,0.0,12.319999999999911
ppo_track_v5_960252_steps,134.73899267958865,56.27281609031116,26.925142704637526,915.9776728408189,1.0,0.0,0.0,12.359999999999912
ppo_track_v5_960252_steps,135.822704303107,56.34575436163373,27.15408434255689,917.9817259980872,1.0,0.0,0.0,12.399999999999912
ppo_track_v5_960252_steps,136.91443034289597,56.4608082022259,27.444297360611802,917.9817259980872,1.0,0.0,0.0,12.43999999999991
ppo_track_v5_960252_steps,138.01502729895122,56.616756223805176,27.78976256097505,920.0050062894436,1.0,0.0,0.0,12.47999999999991
ppo_track_v5_960252_steps,139.12530715016285,56.8124383501477,28.184801340620343,920.0050062894436,1.0,0.0,0.0,12.519999999999907
